
|-           |88.1  MHz |FA |201 |ND  |-                   |B1 |-  |VAC    |MOORPARK                 |CA |US |-      --           |-      kW |-      kW |-       |-       |94671      |N |34 |17 |8.00  |W |118 |52 |52.00 |-                                                                           |   0.00 km |   0.00 mi |  0.00 deg |-      m|-      m|-         |-       |-       |0.     m|289878    |
|KCRY        |88.1  MHz |FM |201 |ND  |-                   |B1 |-  |LIC    |MOJAVE                   |CA |US |BLED   -20000518AAZ |10.5   kW |10.5   kW |-29.0   |-29.0   |59092      |N |35 |7  |20.00 |W |118 |12 |25.00 |SANTA MONICA COMMUNITY COLLEGE DISTRICT                                     |   0.00 km |   0.00 mi |  0.00 deg |1113.  m|1113.0 m|-         |-       |1017686 |67.    m|498416    |
|DK201FB     |88.1  MHz |FX |201 |ND  |-                   |D  |-  |LIC    |TULARE                   |CA |US |BLFT   -20000911AEU |0.007  kW |0.007  kW |34.0    |34.0    |90198      |N |36 |13 |32.00 |W |119 |15 |3.00  |PAULINO BERNAL EVANGELISM                                                   |   0.00 km |   0.00 mi |  0.00 deg |125.   m|125.0  m|30889     |-       |-       |31.    m|536253    |
|KQNC        |88.1  MHz |FM |201 |ND  |-                   |A  |-  |LIC    |QUINCY                   |CA |US |BLED   -20050623AAC |0.5    kW |0.5    kW |-346.0  |-346.0  |122435     |N |39 |56 |14.00 |W |120 |56 |51.00 |CALIFORNIA STATE UNIVERSITY, SACRAMENTO                                     |   0.00 km |   0.00 mi |  0.00 deg |1057.  m|1057.0 m|31282     |-       |1024129 |15.    m|1029353   |
|KKJZ        |88.1  MHz |FM |201 |DA  |-                   |B  |-  |LIC    |LONG BEACH               |CA |US |BMLED  -20050207AAJ |30.    kW |30.    kW |137.0   |137.0   |8197       |N |33 |47 |58.00 |W |118 |9  |43.00 |CALIFORNIA STATE UNIV., LONG BEACH RESEARCH FOUNDATION                      |   0.00 km |   0.00 mi |  0.00 deg |149.   m|149.0  m|14665     |0.      |1218222 |43.    m|1045212   |
|KECG        |88.1  MHz |FM |201 |ND  |-                   |D  |-  |LIC    |EL CERRITO               |CA |US |BLED   -20050727AAH |0.017  kW |0.017  kW |-29.0   |-29.0   |19081      |N |37 |54 |20.00 |W |122 |17 |34.00 |EL CERRITO HIGH SCHOOL                                                      |   0.00 km |   0.00 mi |  0.00 deg |63.    m|63.0   m|-         |-       |-       |29.    m|1076164   |
|K201FW      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |LOS GATOS                |CA |US |BMLFT  -20060201AWL |0.     kW |0.009  kW |760.0   |0.0     |93377      |N |37 |9  |50.00 |W |121 |55 |2.00  |CALVARY CHAPEL OF TWIN FALLS, INC.                                          |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|1080.  m|16155     |10.     |-       |18.    m|1112525   |
|K201HR      |88.1  MHz |FX |201 |DA  |-                   |D  |-  |LIC    |FORT BRAGG               |CA |US |BLFT   -20060821ACS |0.     kW |0.099  kW |0.0     |139.8   |41159      |N |39 |28 |3.00  |W |123 |45 |34.00 |MENDOCINO COUNTY PUBLIC BROADCASTING                                        |   0.00 km |   0.00 mi |  0.00 deg |0.0    m|250.   m|70277     |220.    |-       |24.    m|1144123   |
|KZSC        |88.1  MHz |FM |201 |DA  |-                   |B  |-  |LIC    |SANTA CRUZ               |CA |US |BLED   -20070727AGI |20.    kW |20.    kW |133.0   |133.0   |66310      |N |37 |0  |10.00 |W |122 |3  |4.00  |THE REGENTS OF THE UNIVERSITY OF CALIFORNIA                                 |   0.00 km |   0.00 mi |  0.00 deg |277.   m|277.0  m|67175     |0.      |-       |24.    m|1197337   |
|KKJZ        |88.1  MHz |FM |201 |DA  |-                   |B  |-  |APP    |LONG BEACH               |CA |US |BPED   -20070905ABF |41.    kW |41.    kW |164.0   |164.0   |8197       |N |34 |4  |44.00 |W |118 |11 |5.70  |CALIFORNIA STATE UNIV., LONG BEACH RESEARCH FOUNDATION                      |   0.00 km |   0.00 mi |  0.00 deg |310.9  m|310.9  m|80851     |0.      |1014238 |67.1   m|1202535   |
